,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Daily Grand Total,"143,101,700",,Monthly Grand Total,"143,101,700",,Annual Grand Total,"142,845,681",,,,,,,
,,,,,,,,,,,,,,
Day,Number of Bicycle Hires,,Month,Number of Bicycle Hires,,Year,Number of Bicycle Hires,,,Month,Average Hire Time (mins),,Against last month,Against last year
30/07/2010,"6,897",,Jul 10,"12,461",,2010,"2,180,813",,,Jul 10,17,,,
31/07/2010,"5,564",,Aug 10,"341,203",,2011,"7,142,449",,,Aug 10,17,,,
01/08/2010,"4,303",,Sep 10,"540,859",,2012,"9,519,283",,,Sep 10,15,,,
02/08/2010,"6,642",,Oct 10,"544,412",,2013,"8,045,459",,,Oct 10,15,,,
03/08/2010,"7,966",,Nov 10,"456,304",,2014,"10,023,897",,,Nov 10,14,,,
04/08/2010,"7,893",,Dec 10,"285,574",,2015,"9,871,839",,,Dec 10,17,,,
05/08/2010,"8,724",,Jan 11,"403,178",,2016,"10,303,637",,,Jan 11,16,,,
06/08/2010,"9,797",,Feb 11,"398,292",,2017,"10,446,044",,,Feb 11,17,,,
07/08/2010,"6,631",,Mar 11,"556,155",,2018,"10,567,540",,,Mar 11,20,,,
08/08/2010,"7,864",,Apr 11,"673,639",,2019,"10,168,936",,,Apr 11,27,,,
09/08/2010,"6,191",,May 11,"722,072",,2020,"10,434,167",,,May 11,15,,,
10/08/2010,"4,802",,Jun 11,"638,717",,2021,"10,941,264",,,Jun 11,16,,,
11/08/2010,"14,013",,Jul 11,"708,454",,2022,"11,505,872",,,Jul 11,16,,,
12/08/2010,"13,080",,Aug 11,"642,440",,2023,"8,531,168",,,Aug 11,18,,,
13/08/2010,"12,151",,Sep 11,"684,780",,2024,"8,768,238",,,Sep 11,17,,,
14/08/2010,"9,195",,Oct 11,"708,802",,2025,"4,395,075",,,Oct 11,17,,3.51%,30.20%
15/08/2010,"10,928",,Nov 11,"597,191",,,,,,Nov 11,16,,-15.75%,30.88%
16/08/2010,"15,384",,Dec 11,"408,729",,,,,,Dec 11,19,,-31.56%,43.13%
17/08/2010,"15,396",,Jan 12,"494,325",,,,,,Jan 12,17,,20.94%,22.61%
18/08/2010,"16,062",,Feb 12,"481,826",,,,,,Feb 12,17,,-2.53%,20.97%
19/08/2010,"17,170",,Mar 12,"818,209",,,,,,Mar 12,21,,69.81%,47.12%
20/08/2010,"16,462",,Apr 12,"649,473",,,,,,Apr 12,21,,-20.62%,-3.59%
21/08/2010,"11,719",,May 12,"926,952",,,,,,May 12,22,,42.72%,28.37%
22/08/2010,"10,129",,Jun 12,"858,805",,,,,,Jun 12,22,,-7.35%,34.46%
23/08/2010,"12,935",,Jul 12,"1,014,174",,,,,,Jul 12,23,,18.09%,43.15%
24/08/2010,"17,006",,Aug 12,"1,163,171",,,,,,Aug 12,23,,14.69%,81.06%
25/08/2010,"10,062",,Sep 12,"1,015,145",,,,,,Sep 12,20,,-12.73%,48.24%
26/08/2010,"9,875",,Oct 12,"856,866",,,,,,Oct 12,18,,-15.59%,20.89%
27/08/2010,"12,854",,Nov 12,"726,893",,,,,,Nov 12,17,,-15.17%,21.72%
28/08/2010,"10,116",,Dec 12,"513,444",,,,,,Dec 12,19,,-29.36%,25.62%
29/08/2010,"7,811",,Jan 13,"565,589",,,,,,Jan 13,17,,10.16%,14.42%
30/08/2010,"10,534",,Feb 13,"516,588",,,,,,Feb 13,16,,-8.66%,7.21%
31/08/2010,"17,508",,Mar 13,"504,611",,,,,,Mar 13,16,,-2.32%,-38.33%
01/09/2010,"19,332",,Apr 13,"658,230",,,,,,Apr 13,20,,30.44%,1.35%
02/09/2010,"20,909",,May 13,"749,934",,,,,,May 13,22,,13.93%,-19.10%
03/09/2010,"20,113",,Jun 13,"813,631",,,,,,Jun 13,22,,8.49%,-5.26%
04/09/2010,"14,373",,Jul 13,"998,755",,,,,,Jul 13,25,,22.75%,-1.52%
05/09/2010,"12,924",,Aug 13,"904,155",,,,,,Aug 13,25,,-9.47%,-22.27%
06/09/2010,"16,841",,Sep 13,"701,724",,,,,,Sep 13,19,,-22.39%,-30.87%
07/09/2010,"25,361",,Oct 13,"674,154",,,,,,Oct 13,17,,-3.93%,-21.32%
08/09/2010,"18,727",,Nov 13,"514,146",,,,,,Nov 13,15,,-23.73%,-29.27%
09/09/2010,"20,774",,Dec 13,"443,942",,,,,,Dec 13,18,,-13.65%,-13.54%
10/09/2010,"19,532",,Jan 14,"493,870",,,,,,Jan 14,15,,11.25%,-12.68%
11/09/2010,"13,383",,Feb 14,"522,940",,,,,,Feb 14,17,,5.89%,1.23%
12/09/2010,"14,002",,Mar 14,"757,864",,,,,,Mar 14,20,,44.92%,50.19%
13/09/2010,"18,037",,Apr 14,"805,571",,,,,,Apr 14,21,,6.29%,22.38%
14/09/2010,"17,026",,May 14,"890,709",,,,,,May 14,21,,10.57%,18.77%
15/09/2010,"20,890",,Jun 14,"1,052,573",,,,,,Jun 14,21,,18.17%,29.37%
16/09/2010,"20,433",,Jul 14,"1,183,182",,,,,,Jul 14,22,,12.41%,18.47%
17/09/2010,"20,488",,Aug 14,"1,055,206",,,,,,Aug 14,22,,-10.82%,16.71%
18/09/2010,"15,495",,Sep 14,"1,058,684",,,,,,Sep 14,19,,0.33%,50.87%
19/09/2010,"11,492",,Oct 14,"907,998",,,,,,Oct 14,18,,-14.23%,34.69%
20/09/2010,"20,169",,Nov 14,"715,447",,,,,,Nov 14,16,,-21.21%,39.15%
21/09/2010,"22,906",,Dec 14,"579,853",,,,,,Dec 14,18,,-18.95%,30.61%
22/09/2010,"23,905",,Jan 15,"583,663",,,,,,Jan 15,15,,0.66%,18.18%
23/09/2010,"17,729",,Feb 15,"549,278",,,,,,Feb 15,15,,-5.89%,5.04%
24/09/2010,"18,053",,Mar 15,"701,384",,,,,,Mar 15,17,,27.69%,-7.45%
25/09/2010,"14,010",,Apr 15,"838,543",,,,,,Apr 15,20,,19.56%,4.09%
26/09/2010,"7,890",,May 15,"899,969",,,,,,May 15,21,,7.33%,1.04%
27/09/2010,"18,789",,Jun 15,"1,039,768",,,,,,Jun 15,21,,15.53%,-1.22%
28/09/2010,"21,554",,Jul 15,"1,134,816",,,,,,Jul 15,23,,9.14%,-4.09%
29/09/2010,"13,899",,Aug 15,"1,042,932",,,,,,Aug 15,24,,-8.10%,-1.16%
30/09/2010,"21,823",,Sep 15,"903,429",,,,,,Sep 15,19,,-13.38%,-14.66%
01/10/2010,"11,424",,Oct 15,"885,375",,,,,,Oct 15,19,,-2.00%,-2.49%
02/10/2010,"10,704",,Nov 15,"684,518",,,,,,Nov 15,16,,-22.69%,-4.32%
03/10/2010,"8,237",,Dec 15,"608,164",,,,,,Dec 15,18,,-11.15%,4.88%
04/10/2010,"23,688",,Jan 16,"586,325",,,,,,Jan 16,16,,-3.59%,0.46%
05/10/2010,"22,054",,Feb 16,"597,641",,,,,,Feb 16,16,,1.93%,8.80%
06/10/2010,"20,114",,Mar 16,"664,485",,,,,,Mar 16,17,,11.18%,-5.26%
07/10/2010,"24,072",,Apr 16,"763,308",,,,,,Apr 16,18,,14.87%,-8.97%
08/10/2010,"22,886",,May 16,"1,013,666",,,,,,May 16,21,,32.80%,12.63%
09/10/2010,"14,463",,Jun 16,"963,232",,,,,,Jun 16,19,,-4.98%,-7.36%
10/10/2010,"14,871",,Jul 16,"1,188,428",,,,,,Jul 16,23,,23.38%,4.72%
11/10/2010,"21,986",,Aug 16,"1,158,393",,,,,,Aug 16,22,,-2.53%,11.07%
12/10/2010,"23,016",,Sep 16,"1,053,039",,,,,,Sep 16,19,,-9.09%,16.56%
13/10/2010,"22,251",,Oct 16,"945,143",,,,,,Oct 16,17,,-10.25%,6.75%
14/10/2010,"21,582",,Nov 16,"711,002",,,,,,Nov 16,15,,-24.77%,3.87%
15/10/2010,"20,934",,Dec 16,"658,975",,,,,,Dec 16,18,,-7.32%,8.35%
16/10/2010,"12,735",,Jan 17,"638,491",,,,,,Jan 17,18,,-3.11%,8.90%
17/10/2010,"12,764",,Feb 17,"618,550",,,,,,Feb 17,16,,-3.12%,3.50%
18/10/2010,"20,464",,Mar 17,"819,752",,,,,,Mar 17,17,,32.53%,23.37%
19/10/2010,"17,964",,Apr 17,"917,716",,,,,,Apr 17,21,,11.95%,20.23%
20/10/2010,"20,750",,May 17,"992,601",,,,,,May 17,20,,8.16%,-2.08%
21/10/2010,"21,161",,Jun 17,"1,098,294",,,,,,Jun 17,21,,10.65%,14.02%
22/10/2010,"20,164",,Jul 17,"1,131,838",,,,,,Jul 17,21,,3.05%,-4.76%
23/10/2010,"11,584",,Aug 17,"994,199",,,,,,Aug 17,22,,-12.16%,-14.17%
24/10/2010,"11,259",,Sep 17,"934,751",,,,,,Sep 17,19,,-5.98%,-11.23%
25/10/2010,"18,430",,Oct 17,"973,682",,,,,,Oct 17,18,,4.16%,3.02%
26/10/2010,"13,950",,Nov 17,"792,082",,,,,,Nov 17,16,,-18.65%,11.40%
27/10/2010,"19,559",,Dec 17,"534,088",,,,,,Dec 17,17,,-32.57%,-18.95%
28/10/2010,"19,995",,Jan 18,"645,901",,,,,,Jan 18,16,,20.94%,1.16%
29/10/2010,"19,119",,Feb 18,"576,425",,,,,,Feb 18,16,,-10.76%,-6.81%
30/10/2010,"13,493",,Mar 18,"604,921",,,,,,Mar 18,17,,4.94%,-26.21%
31/10/2010,"8,739",,Apr 18,"824,737",,,,,,Apr 18,20,,36.34%,-10.13%
01/11/2010,"19,785",,May 18,"1,112,686",,,,,,May 18,22,,34.91%,12.10%
02/11/2010,"21,754",,Jun 18,"1,181,642",,,,,,Jun 18,22,,6.20%,7.59%
03/11/2010,"27,964",,Jul 18,"1,253,102",,,,,,Jul 18,23,,6.05%,10.71%
04/11/2010,"22,424",,Aug 18,"1,058,181",,,,,,Aug 18,22,,-15.56%,6.44%
05/11/2010,"15,815",,Sep 18,"1,008,201",,,,,,Sep 18,19,,-4.72%,7.86%
06/11/2010,"11,877",,Oct 18,"978,290",,,,,,Oct 18,18,,-2.97%,0.47%
07/11/2010,"9,331",,Nov 18,"738,024",,,,,,Nov 18,16,,-24.56%,-6.82%
08/11/2010,"11,328",,Dec 18,"585,430",,,,,,Dec 18,18,,-20.68%,9.61%
09/11/2010,"16,026",,Jan 19,"685,798",,,,,,Jan 19,18,,17.14%,6.18%
10/11/2010,"19,767",,Feb 19,"698,917",,,,,,Feb 19,20,,1.91%,21.25%
11/11/2010,"12,901",,Mar 19,"792,272",,,,,,Mar 19,17,,13.36%,30.97%
12/11/2010,"14,534",,Apr 19,"890,148",,,,,,Apr 19,17,,12.35%,7.93%
13/11/2010,"12,123",,May 19,"1,006,547",,,,,,May 19,19,,13.08%,-9.54%
14/11/2010,"6,235",,Jun 19,"1,006,434",,,,,,Jun 19,22,,-0.01%,-14.83%
15/11/2010,"18,086",,Jul 19,"1,152,150",,,,,,Jul 19,21,,14.48%,-8.06%
16/11/2010,"18,764",,Aug 19,"1,053,921",,,,,,Aug 19,22,,-8.53%,-0.40%
17/11/2010,"17,005",,Sep 19,"965,581",,,,,,Sep 19,19,,-8.38%,-4.23%
18/11/2010,"15,974",,Oct 19,"851,999",,,,,,Oct 19,17,,-11.76%,-12.91%
19/11/2010,"18,545",,Nov 19,"729,111",,,,,,Nov 19,15,,-14.42%,-1.21%
20/11/2010,"10,806",,Dec 19,"592,077",,,,,,Dec 19,17,,-18.79%,1.14%
21/11/2010,"8,356",,Jan 20,"709,673",,,,,,Jan 20,16,,19.86%,3.48%
22/11/2010,"17,258",,Feb 20,"641,128",,,,,,Feb 20,19,,-9.66%,-8.27%
23/11/2010,"17,427",,Mar 20,"553,648",,,,,,Mar 20,19,,-13.64%,-30.12%
24/11/2010,"18,628",,Apr 20,"591,294",,,,,,Apr 20,36,,6.80%,-33.57%
25/11/2010,"16,822",,May 20,"1,121,435",,,,,,May 20,35,,89.66%,11.41%
26/11/2010,"16,092",,Jun 20,"1,158,560",,,,,,Jun 20,32,,3.31%,15.12%
27/11/2010,"7,867",,Jul 20,"1,170,060",,,,,,Jul 20,26,,0.99%,1.55%
28/11/2010,"6,866",,Aug 20,"1,153,276",,,,,,Aug 20,24,,-1.43%,9.43%
29/11/2010,"16,681",,Sep 20,"1,137,524",,,,,,Sep 20,23,,-1.37%,17.81%
30/11/2010,"9,263",,Oct 20,"848,233",,,,,,Oct 20,19,,-25.43%,-0.44%
01/12/2010,"9,848",,Nov 20,"760,245",,,,,,Nov 20,23,,-10.37%,4.27%
02/12/2010,"7,356",,Dec 20,"589,091",,,,,,Dec 20,17,,-22.51%,-0.50%
03/12/2010,"8,264",,Jan 21,"409,887",,,,,,Jan 21,17,,-30.42%,-42.24%
04/12/2010,"7,857",,Feb 21,"511,046",,,,,,Feb 21,21,,24.68%,-20.29%
05/12/2010,"8,321",,Mar 21,"748,511",,,,,,Mar 21,26,,46.47%,35.20%
06/12/2010,"13,855",,Apr 21,"943,760",,,,,,Apr 21,25,,26.08%,59.61%
07/12/2010,"15,033",,May 21,"921,988",,,,,,May 21,22,,-2.31%,-17.78%
08/12/2010,"15,225",,Jun 21,"1,183,634",,,,,,Jun 21,21,,28.38%,2.16%
09/12/2010,"16,171",,Jul 21,"1,168,166",,,,,,Jul 21,21,,-1.31%,-0.16%
10/12/2010,"15,602",,Aug 21,"1,111,134",,,,,,Aug 21,22,,-4.88%,-3.65%
11/12/2010,"10,328",,Sep 21,"1,220,318",,,,,,Sep 21,20,,9.83%,7.28%
12/12/2010,"8,585",,Oct 21,"1,110,571",,,,,,Oct 21,18,,-8.99%,30.93%
13/12/2010,"14,997",,Nov 21,"945,047",,,,,,Nov 21,16,,-14.90%,24.31%
14/12/2010,"15,550",,Dec 21,"667,202",,,,,,Dec 21,18,,-29.40%,13.26%
15/12/2010,"13,412",,Jan 22,"748,502",,,,,,Jan 22,17,,12.19%,82.61%
16/12/2010,"10,833",,Feb 22,"749,898",,,,,,Feb 22,17,,0.19%,46.74%
17/12/2010,"10,366",,Mar 22,"1,056,720",,,,,,Mar 22,19,,40.92%,41.18%
18/12/2010,"2,805",,Apr 22,"1,031,077",,,,,,Apr 22,21,,-2.43%,9.25%
19/12/2010,"2,764",,May 22,"1,201,054",,,,,,May 22,20,,16.49%,30.27%
20/12/2010,"6,876",,Jun 22,"1,280,180",,,,,,Jun 22,22,,6.59%,8.16%
21/12/2010,"7,879",,Jul 22,"1,315,801",,,,,,Jul 22,21,,2.78%,12.64%
22/12/2010,"9,718",,Aug 22,"1,259,932",,,,,,Aug 22,21,,-4.25%,13.39%
23/12/2010,"8,867",,Sep 22,"800,950",,,,,,Sep 22,18,,-36.43%,-34.37%
24/12/2010,"5,402",,Oct 22,"864,369",,,,,,Oct 22,18,,7.92%,-22.17%
25/12/2010,"5,621",,Nov 22,"725,556",,,,,,Nov 22,17,,-16.06%,-23.23%
26/12/2010,"4,383",,Dec 22,"471,833",,,,,,Dec 22,16,,-34.97%,-29.28%
27/12/2010,"3,971",,Jan 23,"571,133",,,,,,Jan 23,16,,21.05%,-23.70%
28/12/2010,"3,763",,Feb 23,"613,325",,,,,,Feb 23,17,,7.39%,-18.21%
29/12/2010,"7,010",,Mar 23,"630,605",,,,,,Mar 23,19,,2.82%,-40.32%
30/12/2010,"7,464",,Apr 23,"646,899",,,,,,Apr 23,19,,2.58%,-37.26%
31/12/2010,"7,448",,May 23,"821,433",,,,,,May 23,20,,26.98%,-31.61%
01/01/2011,"4,555",,Jun 23,"884,730",,,,,,Jun 23,20,,7.71%,-30.89%
02/01/2011,"6,250",,Jul 23,"808,688",,,,,,Jul 23,20,,-8.59%,-38.54%
03/01/2011,"7,262",,Aug 23,"778,336",,,,,,Aug 23,21,,-3.75%,-38.22%
04/01/2011,"13,430",,Sep 23,"847,108",,,,,,Sep 23,19,,8.84%,5.76%
05/01/2011,"13,757",,Oct 23,"789,807",,,,,,Oct 23,17,,-6.76%,-8.63%
06/01/2011,"9,595",,Nov 23,"664,981",,,,,,Nov 23,15,,-15.80%,-8.35%
07/01/2011,"9,294",,Dec 23,"474,123",,,,,,Dec 23,16,,-28.70%,0.49%
08/01/2011,"9,338",,Jan 24,"558,837",,,,,,Jan 24,15,,17.87%,-2.15%
09/01/2011,"10,558",,Feb 24,"568,039",,,,,,Feb 24,15,,1.65%,-7.38%
10/01/2011,"16,058",,Mar 24,"647,372",,,,,,Mar 24,16,,13.97%,2.66%
11/01/2011,"16,412",,Apr 24,"685,246",,,,,,Apr 24,16,,5.85%,5.93%
12/01/2011,"13,894",,May 24,"822,970",,,,,,May 24,18,,20.10%,0.19%
13/01/2011,"15,911",,Jun 24,"869,330",,,,,,Jun 24,19,,5.63%,-1.74%
14/01/2011,"14,834",,Jul 24,"883,624",,,,,,Jul 24,19,,1.64%,9.27%
15/01/2011,"11,851",,Aug 24,"871,747",,,,,,Aug 24,18,,-1.34%,12.00%
16/01/2011,"10,471",,Sep 24,"791,965",,,,,,Sep 24,17,,-9.15%,-6.51%
17/01/2011,"10,835",,Oct 24,"830,977",,,,,,Oct 24,16,,4.93%,5.21%
18/01/2011,"17,703",,Nov 24,"711,622",,,,,,Nov 24,15,,-14.36%,7.01%
19/01/2011,"18,350",,Dec 24,"526,509",,,,,,Dec 24,15,,-26.01%,11.05%
20/01/2011,"17,957",,Jan 25,"567,948",,,,,,Jan 25,14,,7.87%,1.63%
21/01/2011,"16,509",,Feb 25,"574,179",,,,,,Feb 25,15,,1.10%,1.08%
22/01/2011,"10,658",,Mar 25,"774,887",,,,,,Mar 25,17,,34.96%,19.70%
23/01/2011,"9,911",,Apr 25,"761,213",,,,,,Apr 25,18,,-1.76%,11.09%
24/01/2011,"17,193",,May 25,"859,493",,,,,,May 25,17,,12.91%,4.44%
25/01/2011,"17,045",,Jun 25,"857,355",,,,,,Jun 25,18,,-0.25%,-1.38%
26/01/2011,"16,396",,,,,,,,,,,,,
27/01/2011,"16,519",,,,,,,,,,,,,
28/01/2011,"15,538",,,,,,,,,,,,,
29/01/2011,"9,379",,,,,,,,,,,,,
30/01/2011,"9,455",,,,,,,,,,,,,
31/01/2011,"16,260",,,,,,,,,,,,,
01/02/2011,"16,331",,,,,,,,,,,,,
02/02/2011,"18,102",,,,,,,,,,,,,
03/02/2011,"15,593",,,,,,,,,,,,,
04/02/2011,"14,938",,,,,,,,,,,,,
05/02/2011,"8,442",,,,,,,,,,,,,
06/02/2011,"9,437",,,,,,,,,,,,,
07/02/2011,"16,537",,,,,,,,,,,,,
08/02/2011,"19,829",,,,,,,,,,,,,
09/02/2011,"18,197",,,,,,,,,,,,,
10/02/2011,"11,496",,,,,,,,,,,,,
11/02/2011,"16,070",,,,,,,,,,,,,
12/02/2011,"12,855",,,,,,,,,,,,,
13/02/2011,"7,034",,,,,,,,,,,,,
14/02/2011,"17,836",,,,,,,,,,,,,
15/02/2011,"15,667",,,,,,,,,,,,,
16/02/2011,"18,989",,,,,,,,,,,,,
17/02/2011,"18,938",,,,,,,,,,,,,
18/02/2011,"17,460",,,,,,,,,,,,,
19/02/2011,"6,250",,,,,,,,,,,,,
20/02/2011,"7,882",,,,,,,,,,,,,
21/02/2011,"13,720",,,,,,,,,,,,,
22/02/2011,"15,948",,,,,,,,,,,,,
23/02/2011,"12,936",,,,,,,,,,,,,
24/02/2011,"19,230",,,,,,,,,,,,,
25/02/2011,"18,634",,,,,,,,,,,,,
26/02/2011,"7,749",,,,,,,,,,,,,
27/02/2011,"8,349",,,,,,,,,,,,,
28/02/2011,"13,843",,,,,,,,,,,,,
01/03/2011,"15,774",,,,,,,,,,,,,
02/03/2011,"16,929",,,,,,,,,,,,,
03/03/2011,"16,576",,,,,,,,,,,,,
04/03/2011,"16,971",,,,,,,,,,,,,
05/03/2011,"9,847",,,,,,,,,,,,,
06/03/2011,"7,142",,,,,,,,,,,,,
07/03/2011,"16,192",,,,,,,,,,,,,
08/03/2011,"17,240",,,,,,,,,,,,,
09/03/2011,"18,494",,,,,,,,,,,,,
10/03/2011,"18,794",,,,,,,,,,,,,
11/03/2011,"19,074",,,,,,,,,,,,,
12/03/2011,"15,488",,,,,,,,,,,,,
13/03/2011,"10,526",,,,,,,,,,,,,
14/03/2011,"19,451",,,,,,,,,,,,,
15/03/2011,"19,568",,,,,,,,,,,,,
16/03/2011,"19,643",,,,,,,,,,,,,
17/03/2011,"20,036",,,,,,,,,,,,,
18/03/2011,"14,612",,,,,,,,,,,,,
19/03/2011,"17,801",,,,,,,,,,,,,
20/03/2011,"14,694",,,,,,,,,,,,,
21/03/2011,"20,710",,,,,,,,,,,,,
22/03/2011,"21,792",,,,,,,,,,,,,
23/03/2011,"23,837",,,,,,,,,,,,,
24/03/2011,"23,518",,,,,,,,,,,,,
25/03/2011,"24,343",,,,,,,,,,,,,
26/03/2011,"16,095",,,,,,,,,,,,,
27/03/2011,"17,550",,,,,,,,,,,,,
28/03/2011,"21,602",,,,,,,,,,,,,
29/03/2011,"22,080",,,,,,,,,,,,,
30/03/2011,"18,945",,,,,,,,,,,,,
31/03/2011,"20,831",,,,,,,,,,,,,
01/04/2011,"22,048",,,,,,,,,,,,,
02/04/2011,"19,829",,,,,,,,,,,,,
03/04/2011,"17,294",,,,,,,,,,,,,
04/04/2011,"20,949",,,,,,,,,,,,,
05/04/2011,"16,690",,,,,,,,,,,,,
06/04/2011,"25,597",,,,,,,,,,,,,
07/04/2011,"25,451",,,,,,,,,,,,,
08/04/2011,"26,622",,,,,,,,,,,,,
09/04/2011,"22,323",,,,,,,,,,,,,
10/04/2011,"21,346",,,,,,,,,,,,,
11/04/2011,"22,204",,,,,,,,,,,,,
12/04/2011,"23,651",,,,,,,,,,,,,
13/04/2011,"18,909",,,,,,,,,,,,,
14/04/2011,"22,346",,,,,,,,,,,,,
15/04/2011,"22,974",,,,,,,,,,,,,
16/04/2011,"19,632",,,,,,,,,,,,,
17/04/2011,"22,009",,,,,,,,,,,,,
18/04/2011,"24,032",,,,,,,,,,,,,
19/04/2011,"27,914",,,,,,,,,,,,,
20/04/2011,"27,934",,,,,,,,,,,,,
21/04/2011,"26,547",,,,,,,,,,,,,
22/04/2011,"23,719",,,,,,,,,,,,,
23/04/2011,"19,182",,,,,,,,,,,,,
24/04/2011,"21,313",,,,,,,,,,,,,
25/04/2011,"21,669",,,,,,,,,,,,,
26/04/2011,"22,038",,,,,,,,,,,,,
27/04/2011,"24,349",,,,,,,,,,,,,
28/04/2011,"23,794",,,,,,,,,,,,,
29/04/2011,"19,700",,,,,,,,,,,,,
30/04/2011,"21,574",,,,,,,,,,,,,
01/05/2011,"19,489",,,,,,,,,,,,,
02/05/2011,"18,126",,,,,,,,,,,,,
03/05/2011,"23,786",,,,,,,,,,,,,
04/05/2011,"26,183",,,,,,,,,,,,,
05/05/2011,"23,620",,,,,,,,,,,,,
06/05/2011,"28,971",,,,,,,,,,,,,
07/05/2011,"22,274",,,,,,,,,,,,,
08/05/2011,"21,011",,,,,,,,,,,,,
09/05/2011,"27,172",,,,,,,,,,,,,
10/05/2011,"29,417",,,,,,,,,,,,,
11/05/2011,"27,205",,,,,,,,,,,,,
12/05/2011,"23,461",,,,,,,,,,,,,
13/05/2011,"23,991",,,,,,,,,,,,,
14/05/2011,"21,100",,,,,,,,,,,,,
15/05/2011,"19,097",,,,,,,,,,,,,
16/05/2011,"24,620",,,,,,,,,,,,,
17/05/2011,"25,464",,,,,,,,,,,,,
18/05/2011,"23,068",,,,,,,,,,,,,
19/05/2011,"27,534",,,,,,,,,,,,,
20/05/2011,"27,523",,,,,,,,,,,,,
21/05/2011,"24,408",,,,,,,,,,,,,
22/05/2011,"19,348",,,,,,,,,,,,,
23/05/2011,"24,268",,,,,,,,,,,,,
24/05/2011,"27,768",,,,,,,,,,,,,
25/05/2011,"28,708",,,,,,,,,,,,,
26/05/2011,"18,055",,,,,,,,,,,,,
27/05/2011,"22,907",,,,,,,,,,,,,
28/05/2011,"15,693",,,,,,,,,,,,,
29/05/2011,"18,396",,,,,,,,,,,,,
30/05/2011,"16,097",,,,,,,,,,,,,
31/05/2011,"23,312",,,,,,,,,,,,,
01/06/2011,"26,054",,,,,,,,,,,,,
02/06/2011,"26,920",,,,,,,,,,,,,
03/06/2011,"26,641",,,,,,,,,,,,,
04/06/2011,"15,233",,,,,,,,,,,,,
05/06/2011,"8,420",,,,,,,,,,,,,
06/06/2011,"13,812",,,,,,,,,,,,,
07/06/2011,"22,378",,,,,,,,,,,,,
08/06/2011,"23,013",,,,,,,,,,,,,
09/06/2011,"25,061",,,,,,,,,,,,,
10/06/2011,"20,141",,,,,,,,,,,,,
11/06/2011,"21,059",,,,,,,,,,,,,
12/06/2011,"6,061",,,,,,,,,,,,,
13/06/2011,"23,978",,,,,,,,,,,,,
14/06/2011,"28,889",,,,,,,,,,,,,
15/06/2011,"25,643",,,,,,,,,,,,,
16/06/2011,"17,566",,,,,,,,,,,,,
17/06/2011,"15,723",,,,,,,,,,,,,
18/06/2011,"13,721",,,,,,,,,,,,,
19/06/2011,"17,092",,,,,,,,,,,,,
20/06/2011,"20,101",,,,,,,,,,,,,
21/06/2011,"26,780",,,,,,,,,,,,,
22/06/2011,"22,745",,,,,,,,,,,,,
23/06/2011,"24,559",,,,,,,,,,,,,
24/06/2011,"22,137",,,,,,,,,,,,,
25/06/2011,"17,944",,,,,,,,,,,,,
26/06/2011,"23,483",,,,,,,,,,,,,
27/06/2011,"26,243",,,,,,,,,,,,,
28/06/2011,"21,950",,,,,,,,,,,,,
29/06/2011,"28,073",,,,,,,,,,,,,
30/06/2011,"27,297",,,,,,,,,,,,,
01/07/2011,"27,758",,,,,,,,,,,,,
02/07/2011,"22,764",,,,,,,,,,,,,
03/07/2011,"21,423",,,,,,,,,,,,,
04/07/2011,"27,332",,,,,,,,,,,,,
05/07/2011,"24,802",,,,,,,,,,,,,
06/07/2011,"26,207",,,,,,,,,,,,,
07/07/2011,"20,483",,,,,,,,,,,,,
08/07/2011,"19,485",,,,,,,,,,,,,
09/07/2011,"21,360",,,,,,,,,,,,,
10/07/2011,"20,203",,,,,,,,,,,,,
11/07/2011,"26,355",,,,,,,,,,,,,
12/07/2011,"26,633",,,,,,,,,,,,,
13/07/2011,"25,417",,,,,,,,,,,,,
14/07/2011,"26,479",,,,,,,,,,,,,
15/07/2011,"27,114",,,,,,,,,,,,,
16/07/2011,"10,224",,,,,,,,,,,,,
17/07/2011,"10,965",,,,,,,,,,,,,
18/07/2011,"18,541",,,,,,,,,,,,,
19/07/2011,"21,218",,,,,,,,,,,,,
20/07/2011,"21,580",,,,,,,,,,,,,
21/07/2011,"20,951",,,,,,,,,,,,,
22/07/2011,"25,172",,,,,,,,,,,,,
23/07/2011,"20,264",,,,,,,,,,,,,
24/07/2011,"22,464",,,,,,,,,,,,,
25/07/2011,"25,185",,,,,,,,,,,,,
26/07/2011,"25,636",,,,,,,,,,,,,
27/07/2011,"24,989",,,,,,,,,,,,,
28/07/2011,"26,759",,,,,,,,,,,,,
29/07/2011,"25,373",,,,,,,,,,,,,
30/07/2011,"23,930",,,,,,,,,,,,,
31/07/2011,"21,388",,,,,,,,,,,,,
01/08/2011,"22,940",,,,,,,,,,,,,
02/08/2011,"24,290",,,,,,,,,,,,,
03/08/2011,"26,120",,,,,,,,,,,,,
04/08/2011,"15,149",,,,,,,,,,,,,
05/08/2011,"26,792",,,,,,,,,,,,,
06/08/2011,"20,485",,,,,,,,,,,,,
07/08/2011,"14,912",,,,,,,,,,,,,
08/08/2011,"23,489",,,,,,,,,,,,,
09/08/2011,"23,011",,,,,,,,,,,,,
10/08/2011,"24,182",,,,,,,,,,,,,
11/08/2011,"20,573",,,,,,,,,,,,,
12/08/2011,"22,971",,,,,,,,,,,,,
